Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-10-18,OMG 2,2023,https://boxd.it/50NDdV,4.5,,,2023-10-17
2023-11-10,Oppenheimer,2023,https://boxd.it/58A4Xl,5,,,2023-11-10
2023-11-14,Rush,2013,https://boxd.it/59LOvX,4.5,Yes,,2023-11-13
2023-11-25,Schindler's List,1993,https://boxd.it/5ddb4h,5,,,2023-11-24
2023-11-25,The Pianist,2002,https://boxd.it/5ddbcF,5,,,2023-11-24
2023-11-25,Hachi: A Dog's Tale,2009,https://boxd.it/5ddblH,4.5,,,2023-11-24
2023-12-03,Scarface,1983,https://boxd.it/5g1tbD,5,,,2023-12-02
2023-12-12,The Godfather,1972,https://boxd.it/5jbWzr,5,,,2023-12-11
2023-12-12,The Godfather Part II,1974,https://boxd.it/5jbWHb,5,,,2023-12-11
2023-12-12,The Godfather Part III,1990,https://boxd.it/5jbWSN,4,,,2023-12-11
2023-12-12,A History of Violence,2005,https://boxd.it/5jbX5R,4,,,2023-12-11
2023-12-12,Pulp Fiction,1994,https://boxd.it/5jbXhj,5,,,2023-12-11
2023-12-12,GoodFellas,1990,https://boxd.it/5jbXpH,5,,,2023-12-11
2023-12-12,City of God,2002,https://boxd.it/5jbXDT,5,,,2023-12-11
2023-12-12,Scent of a Woman,1992,https://boxd.it/5jbXW7,4,,,2023-12-11
2023-12-12,The Equalizer,2014,https://boxd.it/5jbY6r,4.5,,,2023-12-11
2023-12-12,The Equalizer 2,2018,https://boxd.it/5jbYfD,4.5,,,2023-12-11
2023-12-12,"The Good, the Bad and the Ugly",1966,https://boxd.it/5jbYKh,5,,,2023-12-11
2023-12-12,Jigarthanda,2014,https://boxd.it/5jbYWH,5,,,2023-12-11
2023-12-12,Jigarthanda DoubleX,2023,https://boxd.it/5jbZ2F,5,,,2023-12-11
2023-12-12,Killers of the Flower Moon,2023,https://boxd.it/5jbZiX,5,,,2023-12-11
2023-12-12,There Will Be Blood,2007,https://boxd.it/5jbZAH,5,,,2023-12-11
2023-12-12,Gangs of New York,2002,https://boxd.it/5jbZWj,4.5,,,2023-12-11
2023-12-12,Lincoln,2012,https://boxd.it/5jc0vt,4.5,,,2023-12-11
2023-12-12,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/5jc2BX,4,,,2023-12-11
2023-12-12,Serpico,1973,https://boxd.it/5jc2PP,4.5,,,2023-12-11
2023-12-12,...And Justice for All,1979,https://boxd.it/5jc2ZP,4.5,,,2023-12-11
2023-12-12,The Devil's Advocate,1997,https://boxd.it/5jc3dn,4,,,2023-12-11
2023-12-12,Se7en,1995,https://boxd.it/5jc3x3,5,,,2023-12-11
2023-12-12,Zodiac,2007,https://boxd.it/5jc3JN,4.5,,,2023-12-11
2023-12-12,Fight Club,1999,https://boxd.it/5jc4iX,5,,,2023-12-11
2023-12-12,Gone Girl,2014,https://boxd.it/5jc4pp,5,,,2023-12-11
2023-12-12,The Girl with the Dragon Tattoo,2011,https://boxd.it/5jc4y7,4,,,2023-12-11
2023-12-12,The Curious Case of Benjamin Button,2008,https://boxd.it/5jc4Dh,4.5,,,2023-12-11
2023-12-12,Enemy,2013,https://boxd.it/5jc53J,3.5,,,2023-12-11
2023-12-12,Django Unchained,2012,https://boxd.it/5jc65B,4.5,,,2023-12-11
2023-12-12,The Departed,2006,https://boxd.it/5jc6lf,4.5,,,2023-12-11
2023-12-12,Revolutionary Road,2008,https://boxd.it/5jc6wH,4,,,2023-12-11
2023-12-12,No Country for Old Men,2007,https://boxd.it/5jc8Ah,5,,,2023-12-11
2023-12-12,Ben-Hur,1959,https://boxd.it/5jccuH,5,,,2023-12-11
2023-12-12,Zack Snyder's Justice League,2021,https://boxd.it/5jcd5t,5,,,2023-12-11
2023-12-12,Watchmen,2009,https://boxd.it/5jcdIl,5,,,2023-12-11
2023-12-12,Man of Steel,2013,https://boxd.it/5jce0T,5,,,2023-12-11
2023-12-12,300,2006,https://boxd.it/5jce9r,5,,,2023-12-11
2023-12-12,12 Angry Men,1957,https://boxd.it/5jceQZ,5,,,2023-12-11
2023-12-13,The Green Mile,1999,https://boxd.it/5jwdR3,5,,,2023-12-12
2023-12-13,The Shawshank Redemption,1994,https://boxd.it/5jwe6n,5,,,2023-12-12
2023-12-13,Forrest Gump,1994,https://boxd.it/5jweit,5,,,2023-12-12
2023-12-13,Saving Private Ryan,1998,https://boxd.it/5jwf9x,5,,,2023-12-12
2023-12-13,Cast Away,2000,https://boxd.it/5jwfen,4.5,,,2023-12-12
2023-12-15,Psycho,1960,https://boxd.it/5kl0Kv,5,,,2023-12-15
2023-12-22,A Fistful of Dollars,1964,https://boxd.it/5mYQAX,5,,,2023-12-22
2023-12-22,Vertigo,1958,https://boxd.it/5mYQPD,5,,,2023-12-22
2023-12-22,Ugramm,2014,https://boxd.it/5mYS8V,4.5,,,2023-12-22
2023-12-23,Rebel Moon – Part One: A Child of Fire,2023,https://boxd.it/5ncBhz,4,,,2023-12-22
2023-12-23,The Irishman,2019,https://boxd.it/5ncFrt,4.5,,,2023-12-22
2023-12-23,Taxi Driver,1976,https://boxd.it/5ncG5j,4.5,,,2023-12-22
2023-12-23,Joker,2019,https://boxd.it/5ncGIF,5,,,2023-12-22
2024-01-01,12th Fail,2023,https://boxd.it/5s2fL3,5,,,2023-12-31
2024-01-01,Saltburn,2023,https://boxd.it/5sq6kb,4.5,,,2024-01-01
2024-01-01,Past Lives,2023,https://boxd.it/5st4PH,4.5,,,2024-01-01
2024-01-03,Maestro,2023,https://boxd.it/5tU64B,4,,,2024-01-03
2024-01-09,Jojo Rabbit,2019,https://boxd.it/5xUE1n,5,,,2024-01-09
2024-01-10,Asteroid City,2023,https://boxd.it/5xZNoF,5,,,2024-01-09
2024-01-12,2001: A Space Odyssey,1968,https://boxd.it/5yZLav,4.5,,,2024-01-11
2024-01-12,Perfect Blue,1997,https://boxd.it/5yZLIx,4.5,,,2024-01-11
2024-01-12,Raging Bull,1980,https://boxd.it/5zoGAN,5,,,2024-01-12
2024-01-12,The Handmaiden,2016,https://boxd.it/5zrVYr,5,,,2024-01-12
2024-01-13,Hereditary,2018,https://boxd.it/5zuFV3,4.5,,,2024-01-12
2024-01-13,The Call,2020,https://boxd.it/5A0dDp,4.5,,,2024-01-13
2024-01-13,Black Swan,2010,https://boxd.it/5A0dSJ,4.5,,,2024-01-13
2024-01-14,The Adventures of Tintin,2011,https://boxd.it/5AtJh9,4.5,,,2024-01-14
2024-01-15,Apocalypse Now,1979,https://boxd.it/5Bekmd,4.5,,,2024-01-15
2024-01-16,Kaathal - The Core,2023,https://boxd.it/5Bndxh,5,Yes,,2024-01-15
2024-01-16,The Cabin in the Woods,2011,https://boxd.it/5Bnedd,4,,,2024-01-15
2024-01-16,The Lighthouse,2019,https://boxd.it/5BJCtD,4.5,,,2024-01-16
2024-01-17,Inglourious Basterds,2009,https://boxd.it/5BSE4t,5,,,2024-01-16
2024-01-20,Casino,1995,https://boxd.it/5DeFRp,5,,,2024-01-19
2024-01-28,Neru,2023,https://boxd.it/5HbE8N,4.5,,,2024-01-27
2024-01-28,Death's Game,2023,https://boxd.it/5HbExX,5,,,2024-01-27
2024-01-28,The Intouchables,2011,https://boxd.it/5Hg2kh,5,,,2024-01-27
2024-02-02,Anatomy of a Fall,2023,https://boxd.it/5JJECJ,4.5,,,2024-02-01
2024-02-03,Dog Day Afternoon,1975,https://boxd.it/5K8LaH,4.5,,,2024-02-02
2024-02-03,Aquaman and the Lost Kingdom,2023,https://boxd.it/5Kx9Fx,3.5,,,2024-02-03
2024-02-04,The Holdovers,2023,https://boxd.it/5L2z2N,4.5,,,2024-02-04
2024-02-05,Irreversible,2002,https://boxd.it/5L8wsP,3.5,,,2024-02-04
2024-02-08,The Imitation Game,2014,https://boxd.it/5MR0Bp,5,,,2024-02-08
2024-02-10,Anyone But You,2023,https://boxd.it/5NzL7z,2.5,,,2024-02-10
2024-02-11,The Machinist,2004,https://boxd.it/5OaD9V,4.5,,,2024-02-11
2024-02-11,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/5OdHVF,5,,,2024-02-11
2024-02-14,12 Years a Slave,2013,https://boxd.it/5Pe9mH,5,,,2024-02-13
2024-02-17,Aparajito,1956,https://boxd.it/5Qtted,4.5,,,2024-02-16
2024-02-18,The City of Lost Children,1995,https://boxd.it/5QTacf,4,,,2024-02-17
2024-02-18,Cinema Paradiso,1988,https://boxd.it/5QUNjV,5,,,2024-02-17
2024-02-18,Dunki,2023,https://boxd.it/5RoYNd,4.5,,,2024-02-18
2024-02-19,The Shining,1980,https://boxd.it/5RRqVZ,4.5,,,2024-02-19
2024-02-20,The Bang Bang Club,2010,https://boxd.it/5S5Kg1,4,,,2024-02-19
2024-02-21,Robot Dreams,2023,https://boxd.it/5SvFGF,5,,,2024-02-20
2024-02-22,American Fiction,2023,https://boxd.it/5TcDsd,4.5,,,2024-02-22
2024-02-24,Mean Girls,2024,https://boxd.it/5TZ5Ub,1,,,2024-02-24
2024-02-24,Uncut Gems,2019,https://boxd.it/5TZ6uj,3.5,,,2024-02-24
2024-02-29,Poor Things,2023,https://boxd.it/5W8KRt,4.5,,,2024-02-28
2024-03-03,Rustin,2023,https://boxd.it/5XR4b5,4.5,,,2024-03-03
2024-03-05,The Hateful Eight,2015,https://boxd.it/5YQiQN,4.5,,,2024-03-05
2024-03-07,Reservoir Dogs,1992,https://boxd.it/5Zsc7t,4,,,2024-03-06
2024-03-07,Once Upon a Time... in Hollywood,2019,https://boxd.it/5Zsdu9,4.5,,,2024-03-06
2024-03-08,Eraserhead,1977,https://boxd.it/5ZRIiX,4,,,2024-03-07
2024-03-08,Mulholland Drive,2001,https://boxd.it/608mGd,4,,,2024-03-08
2024-03-08,Barbie,2023,https://boxd.it/60aoxh,4,,,2024-03-08
2024-03-09,Requiem for a Dream,2000,https://boxd.it/60e023,4.5,,,2024-03-08
2024-03-10,The Zone of Interest,2023,https://boxd.it/60IZsB,3,,,2024-03-09
2024-03-10,Gunaa,1991,https://boxd.it/60J0jP,5,,,2024-03-09
2024-03-17,Uttama Villain,2015,https://boxd.it/6423Kz,4,,,2024-03-16
2024-03-17,Bramayugam,2024,https://boxd.it/64248r,4.5,,,2024-03-16
2024-03-17,Kill Bill: Vol. 1,2003,https://boxd.it/64ui2X,4.5,,,2024-03-17
2024-03-19,Kill Bill: Vol. 2,2004,https://boxd.it/65pgH9,4.5,,,2024-03-19
2024-03-21,Vishwaroopam,2013,https://boxd.it/660FCd,5,,,2024-03-20
2024-03-21,Vishwaroopam II,2018,https://boxd.it/660Gt7,4,,,2024-03-20
2024-03-27,Geethanjali,1989,https://boxd.it/68IDpn,5,,,2024-03-26
2024-03-27,Training Day,2001,https://boxd.it/68IDIT,4,,,2024-03-26
2024-03-29,Aalavandhan,2001,https://boxd.it/69BvFH,4,,,2024-03-28
2024-03-29,Midsommar,2019,https://boxd.it/69WDhv,4.5,,,2024-03-29
2024-03-29,Godzilla × Kong: The New Empire,2024,https://boxd.it/69YNSb,4,,,2024-03-29
2024-03-31,Siva,1989,https://boxd.it/6ayov9,4.5,,,2024-03-30
2024-04-02,Pudhupettai,2006,https://boxd.it/6bKuJf,4.5,,,2024-04-01
2024-04-03,Swades,2004,https://boxd.it/6cxtVR,5,,,2024-04-03
2024-04-04,Seven Samurai,1954,https://boxd.it/6cVNmb,5,,,2024-04-04
2024-04-06,Ikiru,1952,https://boxd.it/6dLxfd,5,,,2024-04-06
2024-04-07,Dune: Part Two,2024,https://boxd.it/6efef9,5,,,2024-04-07
2024-04-13,A Writer's Odyssey,2021,https://boxd.it/6gFzSL,4,,,2024-04-13
2024-04-14,Premalu,2024,https://boxd.it/6h7bwx,5,,,2024-04-14
2024-04-14,Gaami,2024,https://boxd.it/6h7bOB,5,,,2024-04-14
2024-04-14,Drive,2011,https://boxd.it/6h7bVR,5,,,2024-04-14
2024-04-17,Rockstar,2011,https://boxd.it/6i0QSf,4.5,,,2024-04-16
2024-04-17,Lagaan: Once Upon a Time in India,2001,https://boxd.it/6ifkCJ,5,,,2024-04-17
2024-04-17,PK,2014,https://boxd.it/6ihYqH,5,,,2024-04-17
2024-04-20,Vada Chennai,2018,https://boxd.it/6j0Gm3,4.5,,,2024-04-19
2024-04-21,Sanju,2018,https://boxd.it/6jEoIZ,5,,,2024-04-21
2024-04-26,Monkey Man,2024,https://boxd.it/6lnmEP,4,,,2024-04-25
2024-04-28,Saani Kaayidham,2022,https://boxd.it/6mwaqX,3.5,,,2024-04-28
2024-04-28,Mayakkam Enna,2011,https://boxd.it/6mwbqJ,4.5,,,2024-04-28
2024-04-30,Lost Ladies,2023,https://boxd.it/6nogXh,5,,,2024-04-30
2024-05-02,(Tillu)²,2024,https://boxd.it/6odwnr,3,,,2024-05-02
2024-05-03,Kaaka Muttai,2014,https://boxd.it/6opn2N,5,,,2024-05-02
2024-05-04,Godzilla Minus One,2023,https://boxd.it/6oNIyD,5,,,2024-05-03
2024-05-05,Into the Wild,2007,https://boxd.it/6pEy2j,4,,,2024-05-05
2024-05-06,Killer's Kiss,1955,https://boxd.it/6pL0c9,4,,,2024-05-05
2024-05-06,Manjummel Boys,2024,https://boxd.it/6qdN4p,5,,,2024-05-06
